No,Kode,Nama Matakuliah,SKS,Kelas/Rombel,Pengampu,Jenis,Ruang,Hari,Jam Mulai,Jam Selesai
1,MKU6212,TRANSFORMASI DIGITAL,2,J,"Handaru Jati ST., M.M., M.T., Ph.D.",Teori,"R. Kuliah (RF 9), GEDUNG RF",Selasa,10:51,12:30
2,TIN6202,PEMROGRAMAN 1,2,J,"Akhsin Nurlayli S.Pd., M.Eng.",Teori,"Lab. Virtual Reality (RF 9), GEDUNG RF",Senin,07:30,09:10
3,TIN6203,PRAKTIK PEMROGRAMAN 1,2,J1,"Akhsin Nurlayli S.Pd., M.Eng.",Praktik,"Lab. Komputer, GEDUNG LABORATORIUM ELEKTRO & ELEKTRONIKA",Kamis,14:11,17:30
4,TIN6204,TEKNIK DIGITAL,2,J,"Bekti Wulandari S.Pd.T., M.Pd.",Teori,"R. AVA B Media, GEDUNG MEDIA, AULA dan RUANG THEATER",Senin,12:31,14:10
5,TIN6205,PRAKTIK TEKNIK DIGITAL,2,J1,"Bekti Wulandari S.Pd.T., M.Pd.",Praktik,"Lab. Microprosesor (Lab. Elan/up), GEDUNG LABORATORIUM ELEKTRO & ELEKTRONIKA",Kamis,10:51,14:10
6,TIN6206,LOGIKA,2,J,Dr. Dra. Umi Rochayati M.T.,Teori,"Theater 1, GEDUNG MEDIA, AULA dan RUANG THEATER",Rabu,09:11,10:50
7,TIN6208,ORGANISASI SISTEM KOMPUTER,2,J,Dr. Priyanto M.Kom.,Teori,"Lab. Virtual Reality (RF 9), GEDUNG RF",Selasa,09:11,10:50
8,TIN6275,VEKTOR DAN MATRIKS,2,J,"Dr. Karyati S.Si., M.Si.",Teori,"Theater 1, GEDUNG MEDIA, AULA dan RUANG THEATER",Jumat,07:30,09:10
9,MKU6201,PENDIDIKAN AGAMA ISLAM,2,J,Ayu Usada Rengkaningtias M.Sos.,Teori,"Lab. Virtual Reality (RF 9), GEDUNG RF",Senin,09:11,10:50
10,FTE6211,FISIKA,2,J,"Ardy Seto Priambodo S.T., M.Eng.",Teori,"R. Kuliah (RF 6), GEDUNG RF",Kamis,07:30,09:10
11,TIN6222,PERSAMAAN DIFERENSIAL,2,J,"Kus Prihantoso Krisnawan S.Si., M.Si.",Teori,"R. Kuliah (RF 9), GEDUNG RF",Selasa,07:30,09:10
12,TIN6214,KALKULUS VARIABEL TUNGGAL,2,J,Suprapto Ph.D.,Teori,"R. AVA B Media, GEDUNG MEDIA, AULA dan RUANG THEATER",Rabu,12:31,14:10
