No,Kode,Nama Matakuliah,SKS,Kelas/Rombel,Pengampu,Jenis,Ruang,Hari,Jam Mulai,Jam Selesai
1,TIN6156,PRAKTIK SEMANTIC WEB,1,J1,"Dzul Fadli Rahman S.Kom., M.Sc.",Praktik,"Lab.Multimeida & Virtual Reality, GEDUNG IDB PT. ELEKTRO & ELEKTRONIKA",Rabu,07:30,09:10
2,TIN6170,PRAKTIK DATA MINING,1,J1,"Handaru Jati ST., M.M., M.T., Ph.D.",Praktik,"Lab. Artificial Intellegence (LPTK 5), GEDUNG LPTK",Selasa,12:31,14:10
3,TIN6256,SEMANTIC WEB,2,J,"Dzul Fadli Rahman S.Kom., M.Sc.",Teori,"R. Kuliah ( RF 9 ), GEDUNG RF",Jumat,09:10,10:50
4,TIN6270,DATA MINING,2,J,"Nadhir Fachrul Rozam S.Tr.T, M.Cs.",Teori,"R. Kuliah ( RE 4 ), GEDUNG JURUSAN PT. ELEKTRO & ELEKTRONIKA",Senin,07:30,09:10
5,TIN6274,PRAKTIK BROADCASTING,2,J,"Ahmad Awaluddin Baiti S.Pd.T., M.Pd.",Praktik,"Lab. Audio Video & Televisi, GEDUNG IDB PT. ELEKTRO & ELEKTRONIKA",Selasa,07:30,10:50
6,TIN6278,SISTEM PAKAR,2,J,"Muslikhin S.Pd., M.Pd., Ph.D.",Teori,"R. AVA B Media, GEDUNG MEDIA, AULA dan RUANG THEATER",Kamis,07:30,09:10
7,TIN6279,RISET OPERASI,2,J,"Zaenal Mustofa M.Kom.",Teori,"R. Kuliah ( RF 4 ), GEDUNG RF",Senin,10:51,12:30
8,TIN6280,ETIKA PROFESI/HAK KEKAYAAN INTELEKTUAL,2,J,"Dr.Phil. Ir. Mashoedah S.Pd., M.T.",Teori,"R. Kuliah ( RF 4 ), GEDUNG RF",Rabu,09:11,10:49
9,TIN6281,BROADCASTING,2,J,"Ahmad Awaluddin Baiti S.Pd.T., M.Pd.",Teori,"R. Kuliah ( RE 4 ), GEDUNG JURUSAN PT. ELEKTRO & ELEKTRONIKA",Kamis,14:10,15:50
10,TIN6355,PROYEK MANDIRI,3,J1.1,"Dr. Ir. Satriyo Agung Dewanto S.T., S.Pd.T., M.Pd., IPM., ASEAN Eng.",Praktik,"Lab. Sistem kendali, GEDUNG LABORATORIUM ELEKTRO & ELEKTRONIKA",Kamis,09:10,14:10
