No,Kode,Nama Matakuliah,SKS,Kelas/Rombel,Pengampu,Jenis,Ruang,Hari,Jam Mulai,Jam Selesai
1,TIN6221,JARINGAN KOMPUTER,2,J,Drs. Totok Sukardiyono M.T.,Teori,"R. Kuliah (RF 4), GEDUNG RF",Kamis,10:51,12:30
2,TIN6217,MATEMATIKA DISKRIT,2,J,"Dr. Nuryake Fajaryati S.Pd.T., M.Pd.",Teori,"R. Kuliah (RF 8), GEDUNG RF",Senin,07:30,09:10
3,TIN6216,PEMROGRAMAN WEB,2,J1,"Nurkhamid S.Si., M.Kom., Ph.D.",Praktik,"Lab. Sistem Informasi dan Pemrograman, GEDUNG IDB PT. ELEKTRO & ELEKTRONIKA",Rabu,07:30,10:50
4,TIN6215,PRAKTIK JARINGAN KOMPUTER,2,J1,Drs. Totok Sukardiyono M.T.,Praktik,"Lab. Jaringan, GEDUNG IDB PT. ELEKTRO & ELEKTRONIKA",Jumat,07:30,10:50
5,TIN6212,STRUKTUR DATA,2,J,"Dr. Adi Dewanto S.T., M.Kom.",Teori,"R. Kuliah (RF 8), GEDUNG RF",Senin,09:11,10:50
6,TIN6211,SISTEM OPERASI,2,J,Rizqi Aji Surya Putra M.Pd.,Teori,"R. Kuliah (RF 7), GEDUNG RF",Selasa,09:11,10:50
7,TIN6210,PRAKTIK PEMROGRAMAN 2,2,J1,"Bonita Destiana S.Pd., M.Pd.",Praktik,"Lab. Komputer, GEDUNG LABORATORIUM ELEKTRO & ELEKTRONIKA",Rabu,12:31,15:50
8,TIN6209,PEMROGRAMAN 2,2,J,"Nurkhamid S.Si., M.Kom., Ph.D.",Teori,"R. Kuliah (RF 7), GEDUNG RF",Selasa,07:30,09:10
9,TIN6207,KALKULUS VARIABEL JAMAK,3,J,"Lusi Harini S.Si., M.Sc.",Teori,"R. Kuliah (RF 6), GEDUNG RF",Kamis,07:30,10:00
10,TIN6112,PRAKTIK STRUKTUR DATA,1,J1,"Dr. Adi Dewanto S.T., M.Kom.",Praktik,"R. Kuliah (LPTK 5), GEDUNG LPTK",Senin,12:31,14:10
11,MKU6211,BAHASA INGGRIS*,2,J,Satrio Aji Pramono M.Pd.,Teori,"R. Kuliah (RF 7), GEDUNG RF",Selasa,12:31,14:10
